ts_jst,symbol,side,qty,entry_price,exit_price,realized_pnl,hold_ms,exit_reason,obi_z,lob_ofi_z,tape_ofi_z,micro_momentum_z,microprice_tilt_z,composite

2026-03-13T15:17:08.414000+09:00,7269,1,100,1964.5000,1965.0000,50.00,21943.0,take_profit_quote,-1.3316,4.0000,1.1612,1.9124,-1.3683,1.2494
2026-03-13T15:21:46.747000+09:00,7269,1,100,1964.0000,1964.5000,50.00,215048.0,take_profit_quote,1.4239,-0.0358,1.7175,0.0348,1.5853,0.8525
2026-03-13T15:22:28.793000+09:00,7269,1,100,1964.0000,1964.5000,50.00,3266.0,take_profit_quote,-0.0395,1.8868,-0.7904,0.0239,0.0006,0.4017
2026-03-18T14:33:49.158000+09:00,4680,1,100,886.1000,886.2000,10.00,62014.0,take_profit_quote,-0.3911,3.3745,1.3052,2.2710,-1.2006,1.3962
2026-03-18T14:36:38.148000+09:00,4194,1,100,6826.0000,6821.0000,-500.00,7051.0,abnormal_spread_blowout,0.0529,2.5984,0.2645,3.1339,1.7640,1.4921
2026-03-18T14:37:16.313000+09:00,6758,1,100,3298.0000,3299.0000,100.00,202861.0,take_profit_quote,-0.6972,4.0000,0.8489,2.7202,-1.0567,1.4978
2026-03-18T15:06:51.316000+09:00,4680,1,100,886.8000,886.8000,0.00,522088.0,max_hold_time,-0.9794,2.3906,1.4994,3.4312,-0.2628,1.2606
2026-03-18T15:22:50.500000+09:00,6758,1,100,3297.0000,3298.0000,100.00,28527.0,take_profit_quote,-0.7970,4.0000,1.1947,0.8745,-1.6015,1.2107
2026-03-18T15:23:32.735000+09:00,6758,1,100,3297.0000,3298.0000,100.00,13397.0,take_profit_quote,-0.5961,4.0000,0.6418,2.2994,-0.6963,1.4546
